id,status,vote_date,vote_person,category,subject,level,do_person,goal,due_date,end_date,created_at,updated_at
1,99_Close,2017-07-23,"浅","会議","毎週の報告が仕組化されておらず、手間がかかっている。","高","浅","報告作業が明確に定義されており、ルーチンワークとなっている。",2017-07-23,2017-07-23,"2017-10-22 12:31:28.604511","2017-10-22 12:31:28.604511"
2,99_Close,2017-07-23,"浅","経理","会計データの管理が十分ではない","中","浅","全ての会計データが会計ソフトに入力されており参照可能になっている。",2017-08-13,2017-09-11,"2017-10-22 12:31:28.610250","2017-10-22 12:31:28.610250"
3,99_Close,2017-07-23,"浅","経理","PPC経費に使ったカードの返済計画が立てられていない。","中","浅","事業収支に基づいて実現可能な返済計画が立てられており、返済目標が定められている。",2017-07-24,2017-07-25,"2017-10-22 12:31:28.616264","2017-10-22 12:31:28.616264"
4,99_Close,2017-07-23,"浅","経理","経費についてのルールが確定しておらず、メンバーがそれぞれのやり方で使用している。","低","浅","経費ルールが明文化されており、メンバー全員が同じやり方で経費を使っている。",2017-08-07,2017-08-15,"2017-10-22 12:31:28.622107","2017-10-22 12:31:28.622107"
5,99_Close,2017-07-23,"浅","会議","毎週の作業計画と実績報告のフィードバックサイクルが確立されておらず、十分なフィードバックが出来ていない。","高","浅","フィードバックサイクルが確立されており、毎週一定のフィードバックが行われている。",2017-07-24,2017-07-25,"2017-10-22 12:31:28.627712","2017-10-22 12:31:28.627712"
6,99_Close,2017-07-24,"作村",PPC,"アフィリエイトハブのタグを変更","中","作村","完全にアフィリエイトOCEAN移行",2017-07-25,2017-07-27,"2017-10-22 12:31:28.634287","2017-10-22 12:31:28.634287"
7,99_Close,2017-07-26,"吉野",PPC,"課題の洗い出しを行う","高","吉野","現在抱えている課題をすべて課題表に記載し、タスクに分ける（吉野担当分）",2017-07-26,2017-07-26,"2017-10-22 12:31:28.639911","2017-10-22 12:31:28.639911"
8,99_Close,2017-07-26,"吉野",PPC,"7月分売上データの更新を行う","高","吉野","7月分の売上・支出をまとめ、グーグルドライブに上げる",2017-08-01,,"2017-10-22 12:31:28.647523","2017-10-22 12:31:28.647523"
9,99_Close,2017-07-26,"吉野",PPC,"8月分売上データの更新を行う","高","吉野","8月分の売上・支出をまとめ、グーグルドライブに上げる",2017-09-01,2017-09-01,"2017-10-22 12:31:28.654034","2017-10-22 12:31:28.654034"
10,99_Close,2017-07-26,"吉野",PPC,"9月分売上データの更新を行う","高","吉野","9月分の売上・支出をまとめ、グーグルドライブに上げる",2017-10-01,2017-09-13,"2017-10-22 12:31:28.661400","2017-10-22 12:31:28.661400"
11,99_Close,2017-07-26,"吉野",PPC,"A8商品の商品名ターゲティングYDN出稿","高","吉野","A8商品で出稿可能な商品をすべて広告出稿する",2017-08-15,2017-08-12,"2017-10-22 12:31:28.667290","2017-10-22 12:31:28.667290"
12,99_Close,2017-07-26,"吉野",PPC,"AT商品の商品名ターゲティングYDN出稿","高","吉野","AT商品で出稿可能な商品をすべて広告出稿する",2017-09-30,2017-10-02,"2017-10-22 12:31:28.680614","2017-10-22 12:31:28.680614"
13,02_Inprocess,2017-07-26,"吉野",PPC,"YDN審査落ち商品の再出稿","低","吉野","YDN商品名ターゲティングでの審査落ち広告がなくなる",2017-12-31,2017-09-30,"2017-10-22 12:31:28.686385","2017-10-23 08:00:05.378678"
14,99_Close,2017-07-26,"吉野",PPC,"SSクイックリンクオプションによる変化を測定する","低","吉野","SSクイックリンクオプションのクリック率を測定する",2017-08-15,2017-08-15,"2017-10-22 12:31:28.699482","2017-10-22 12:31:28.699482"
15,99_Close,2017-07-26,"吉野",PPC,"SS広告文のABテストを行い、変化を測定する","低","吉野","広告ごとのクリック率の差異と、広告インデックスを計測する",2017-08-15,2017-08-15,"2017-10-22 12:31:28.706035","2017-10-22 12:31:28.706035"
16,99_Close,2017-08-13,"吉野",PPC,"YDN黒字案件の利益拡大のための施策を実施する","中","吉野","全ての対象案件に対して施策を実行する",2017-08-31,2017-08-31,"2017-10-22 12:31:28.711840","2017-10-22 12:31:28.711840"
17,02_Inprocess,2017-08-13,"吉野",PPC,"YDN黒字案件に対する施策の効果を測定する","低","吉野","データを測定し全対象商品に対して今後の方針を決定する",2017-10-01,,"2017-10-22 12:31:28.718652","2017-10-22 12:31:28.718652"
18,99_Close,2017-08-13,"吉野",PPC,"YDN赤字案件利益改善のための施策を実施する","中","吉野","全ての対象案件に対して施策を実行する",2017-09-17,2017-09-25,"2017-10-22 12:31:28.725479","2017-10-22 12:31:28.725479"
19,02_Inprocess,2017-08-13,"吉野",PPC,"YDN赤字案件に対する施策の効果を測定する","低","吉野","データを測定し全対象商品に対して今後の方針を決定する",2017-10-01,,"2017-10-22 12:31:28.730944","2017-10-22 12:31:28.730944"
20,04_Invaild,,,,,,,,,,"2017-10-22 12:31:28.737547","2017-10-22 12:31:28.737547"
21,04_Invaild,,,,,,,,,,"2017-10-22 12:31:28.742938","2017-10-22 12:31:28.742938"
22,99_Close,2017-07-26,"吉野",PPC,"スキンケアLPをSSに関連キーワード出稿する","高","吉野","スキンケアLPをSSに関連キーワード出稿する",2017-07-28,2017-07-29,"2017-10-22 12:31:28.749348","2017-10-22 12:31:28.749348"
23,99_Close,2017-07-26,"吉野",PPC,"スキンケアLPのインプレッション・クリックが発生するか測定する","高","吉野","スキンケアLPのインプレッション・クリックが発生するか測定する",2017-08-14,2017-08-14,"2017-10-22 12:31:28.754915","2017-10-22 12:31:28.754915"
24,99_Close,2017-07-26,"吉野",PPC,"スキンケアLPの内容追加・修正を行う","高","吉野","スキンケアLPの第２版を広告出稿する",2017-08-14,2017-08-12,"2017-10-22 12:31:28.761432","2017-10-22 12:31:28.761432"
25,04_Invaild,2017-07-26,"吉野",PPC,"スキンケアLPのターゲティング別LPを作成する","高","吉野","スキンケアLPのターゲティング別LPを作成し、広告出稿する",2017-09-01,,"2017-10-22 12:31:28.767107","2017-10-22 12:31:28.767107"
26,04_Invaild,2017-07-26,"吉野",PPC,"スキンケアLPのターゲティング別LPによるCVRの変化を測定する","中","吉野","スキンケアLPのターゲティング別LPによるCVRの変化を測定する",2017-10-01,,"2017-10-22 12:31:28.773431","2017-10-22 12:31:28.773431"
27,04_Invaild,2017-07-26,"吉野",PPC,"スキンケアLPの広告文のABテストを行う","中","吉野","スキンケアLPのABテスト用の広告文を出稿する",2017-09-19,,"2017-10-22 12:31:28.785752","2017-10-22 12:31:28.785752"
28,04_Invaild,2017-07-26,"吉野",PPC,"スキンケアLPの広告文のABテストによるクリック率の変化を測定する","中","吉野","スキンケアLPの広告文のABテストによるクリック率の変化を測定する",2017-10-16,,"2017-10-22 12:31:28.791455","2017-10-22 12:31:28.791455"
29,04_Invaild,2017-07-26,"吉野",PPC,"スキンケアLPのYDNターゲティング対象の見直しを行う","中","吉野","スキンケアLPの売上データを計測しターゲティングの絞り込み・拡大を行う",2017-09-21,,"2017-10-22 12:31:28.801827","2017-10-22 12:31:28.801827"
30,04_Invaild,2017-07-26,"吉野",PPC,"スキンケアLPのLP内容を改善しCVRを上げる","中","吉野","改善したスキンケアLPを出稿する",2017-10-02,,"2017-10-22 12:31:28.807441","2017-10-22 12:31:28.807441"
31,04_Invaild,2017-07-26,"吉野",PPC,"スキンケアLPのLP内容改善によるCVRの変化を測定する","中","吉野","スキンケアLPのLP内容改善によるCVRの変化を測定し、成績の悪いLPを削除する",2017-11-01,,"2017-10-22 12:31:28.815206","2017-10-22 12:31:28.815206"
32,99_Close,2017-07-26,"吉野",PPC,"関連LP②のコンセプト、載せる商品を決める。","高","吉野","関連LP②のコンセプト、載せる商品を決める。",2017-07-23,2017-07-23,"2017-10-22 12:31:28.821600","2017-10-22 12:31:28.821600"
33,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②のLPを作成する","高","吉野","関連LP②のLP案を作り、縞居君に作成を依頼する",2017-08-11,,"2017-10-22 12:31:28.827735","2017-10-22 12:31:28.827735"
34,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②のターゲティングを決める","高","吉野","関連LP②のSSとYDN用ターゲティングリストを完成する",2017-08-18,,"2017-10-22 12:31:28.834013","2017-10-22 12:31:28.834013"
35,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②を広告出稿する","高","吉野","関連LP②をSSとYDNに広告出稿する",2017-08-21,,"2017-10-22 12:31:28.839589","2017-10-22 12:31:28.839589"
36,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②のインプレッション・クリックが発生するか測定する",,"吉野",,,,"2017-10-22 12:31:28.845834","2017-10-22 12:31:28.845834"
37,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②の内容追加・修正を行う",,"吉野",,,,"2017-10-22 12:31:28.853438","2017-10-22 12:31:28.853438"
38,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②のターゲティング別LPを作成する",,"吉野",,,,"2017-10-22 12:31:28.858747","2017-10-22 12:31:28.858747"
39,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②のターゲティング別LPによるCVRの変化を測定する",,"吉野",,,,"2017-10-22 12:31:28.863786","2017-10-22 12:31:28.863786"
40,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②の広告文のABテストを行う",,"吉野",,,,"2017-10-22 12:31:28.870269","2017-10-22 12:31:28.870269"
41,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②の広告文のABテストによるクリック率の変化を測定する",,"吉野",,,,"2017-10-22 12:31:28.875696","2017-10-22 12:31:28.875696"
42,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②のYDNターゲティング対象の見直しを行う",,"吉野",,,,"2017-10-22 12:31:28.882105","2017-10-22 12:31:28.882105"
43,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②のLP内容を改善し、CVRを上げる",,"吉野",,,,"2017-10-22 12:31:28.896090","2017-10-22 12:31:28.896090"
44,04_Invaild,2017-07-26,"吉野",PPC,"関連LP②のLP内容改善によるCVRの変化を測定する",,"吉野",,,,"2017-10-22 12:31:28.907500","2017-10-22 12:31:28.907500"
45,99_Close,2017-07-27,"作村",PPC,"1週間分の課題を課題管理票に記入","高","作村",,2017-09-04,,"2017-10-22 12:31:28.914032","2017-10-22 12:31:28.914032"
46,99_Close,2017-08-07,"吉野","会議","会議準備（吉野8月分）","高","吉野","週次報告会の前に週次報告管理シートと会議事前資料を作成する",2017-08-31,2017-08-31,"2017-10-22 12:31:28.919624","2017-10-22 12:31:28.919624"
47,04_Invaild,,,,,,,,,,"2017-10-22 12:31:28.925718","2017-10-22 12:31:28.925718"
48,99_Close,2017-07-27,"作村",PPC,"伊藤師匠へ収支報告（30日まで）","中","作村","毎日の収入と支出を記録",2017-07-30,,"2017-10-22 12:31:28.930756","2017-10-22 12:31:28.930756"
49,99_Close,2017-07-27,"作村",PPC,"30日にPPC管理シートの状況把握＆分析","高","作村","チェックポイントを確認",2017-07-30,,"2017-10-22 12:31:28.937472","2017-10-22 12:31:28.937472"
50,99_Close,2017-07-27,"作村",PPC,"伊藤セミナー（8/20）での発表準備","中","作村","伊藤さんへ大まかな内容提出",2017-07-31,,"2017-10-22 12:31:28.942680","2017-10-22 12:31:28.942680"
51,99_Close,2017-07-30,"吉野",PPC,"SS出稿済み商品を季節別に再出稿する","中","吉野","月別出稿商品の一覧表を作成する",2017-08-31,2017-08-31,"2017-10-22 12:31:28.949587","2017-10-22 12:31:28.949587"
52,02_Inprocess,2017-07-30,"吉野",PPC,"SS商品名 売れる商品を見つける","中","吉野","毎月該当商品を出稿し、トレンドキーワードを毎月取得するシステムを構築する",2017-12-31,,"2017-10-22 12:31:28.955040","2017-10-22 12:31:28.955040"
53,99_Close,2017-07-30,"吉野",PPC,"YDN広告の管理不足","低","吉野","YDN広告の削除・整理を実施する",2017-08-07,2017-08-02,"2017-10-22 12:31:28.961858","2017-10-22 12:31:28.961858"
54,02_Inprocess,2017-07-31,"吉野",PPC,"SS再審査出稿を完了する","低","吉野","審査落ち・審査中広告がない状態にする",2017-09-30,,"2017-10-22 12:31:28.967517","2017-10-22 12:31:28.967517"
55,99_Close,2017-07-31,"浅","経理","会計データが正確ではない","高","浅","7月1日時点での現金残高が会計ソフトとマネーフォワードで一致している",2017-08-31,2017-09-11,"2017-10-22 12:31:28.974173","2017-10-22 12:31:28.974173"
56,99_Close,2017-07-31,"作村",PPC,"今週の予定を記入する（7月1日−8月31）","高","作村","今週のよていを予定を記入してしまったら終わり",2017-07-31,2017-07-31,"2017-10-22 12:31:28.979694","2017-10-22 12:31:28.979694"
57,99_Close,2017-07-31,"作村",PPC,"ターゲットを絞ったYDN広告（レントラックス修正）","高","作村","全ての修正を終える",2017-08-06,,"2017-10-22 12:31:28.986337","2017-10-22 12:31:28.986337"
58,99_Close,2017-07-31,"作村",PPC,"伊藤さんへ収支報告日報","中","作村","日々の収支報告",2017-08-06,,"2017-10-22 12:31:28.998942","2017-10-22 12:31:28.998942"
59,99_Close,2017-07-31,"作村","会議","来週ミーティング報告資料作成","高","作村","ミーティングの報告資料が",2017-08-06,,"2017-10-22 12:31:29.013352","2017-10-22 12:31:29.013352"
60,99_Close,2017-07-31,"浅",PMO,"課題管理表をより使いやすくする","低","浅","課題管理表によってタスクをコントロールできる",2017-08-31,2017-08-15,"2017-10-22 12:31:29.018818","2017-10-22 12:31:29.018818"
61,99_Close,2017-08-01,"吉野","会議","課題と計画の見直し","高","吉野","課題とタスクの再設定を行う",2017-08-02,2017-08-02,"2017-10-22 12:31:29.025167","2017-10-22 12:31:29.025167"
62,99_Close,2017-08-01,"吉野",PPC,"売上データ管理業務（８月分）","中","吉野","週１でタスクを実施する",2017-08-31,2017-08-31,"2017-10-22 12:31:29.030656","2017-10-22 12:31:29.030656"
63,99_Close,2017-08-01,"吉野",PPC,"PPCの実績を共有する（８月分）","高","吉野","実績報告会を実施する",2017-08-07,,"2017-10-22 12:31:29.036977","2017-10-22 12:31:29.036977"
64,99_Close,2017-08-02,"吉野",PPC,"SS商品数が多く、個別商品への施策が打てない","中","吉野","SS主力商品を選定する",2017-08-04,2017-08-03,"2017-10-22 12:31:29.042316","2017-10-22 12:31:29.042316"
65,99_Close,2017-08-03,"吉野",PPC,"SS商品の売上アップに向けた計画を立て直す","中","吉野","SS売上アップ計画を策定しタスク管理表を入力する",2017-08-04,2017-08-05,"2017-10-22 12:31:29.047555","2017-10-22 12:31:29.047555"
66,99_Close,2017-08-04,"浅","経理","PPCの売上を把握する","中","浅","6月以降の売り上げをMF、会計ソフトに入力する",2017-08-31,,"2017-10-22 12:31:29.054039","2017-10-22 12:31:29.054039"
67,99_Close,2017-08-05,"吉野",PPC,"SS主力商品のインプレッションを向上させる","中","吉野","SS主力商品のキーワードを見直し、必要に応じ追加出稿する",2017-08-12,2017-08-12,"2017-10-22 12:31:29.059362","2017-10-22 12:31:29.059362"
68,99_Close,2017-08-05,"吉野",PPC,"SS主力商品のクリック率を向上させる","中","吉野","SS主力商品の広告文ABテスト（2回目）を実施し、ベスト広告以外を削除する",2017-09-17,2017-09-24,"2017-10-22 12:31:29.066094","2017-10-22 12:31:29.066094"
69,99_Close,2017-08-05,"吉野",PPC,"SS主力商品の利益を最大化する","中","吉野","SS主力商品の広告入札額を調整する",2017-08-12,2017-08-22,"2017-10-22 12:31:29.071634","2017-10-22 12:31:29.071634"
70,99_Close,2017-08-07,"作村",PPC,"来週ミーティング報告資料作成","高","作村","今週の予定を予定を記入してしまったら終わり",2017-09-04,2017-07-31,"2017-10-22 12:31:29.077973","2017-10-22 12:31:29.077973"
71,99_Close,2017-08-07,"作村",PPC,"伊藤さんへ収支報告日報","中","作村","日々の収支報告",2017-08-13,,"2017-10-22 12:31:29.083068","2017-10-22 12:31:29.083068"
72,99_Close,2017-08-07,"作村","会議","来週ミーティング報告資料作成","高","作村","ミーティングの報告資料完成",2017-08-12,,"2017-10-22 12:31:29.089307","2017-10-22 12:31:29.089307"
73,99_Close,2017-08-07,"浅",PPC,"PowerBIで会社のメールアドレスが必要","中","浅","PowerBIのアカウントを取得する",2017-08-26,2017-08-10,"2017-10-22 12:31:29.094555","2017-10-22 12:31:29.094555"
74,99_Close,2017-08-08,"作村",PPC,"ASPメールチェック＆入金確認（7日から13日）","高","作村","メールチェック＆返信",2017-08-13,,"2017-10-22 12:31:29.106053","2017-10-22 12:31:29.106053"
75,99_Close,2017-08-08,"作村",PPC,"yahoo入金確認（7日から13日）","高","作村","入金確認",2017-08-13,,"2017-10-22 12:31:29.120074","2017-10-22 12:31:29.120074"
76,99_Close,2017-08-08,"作村",PPC,"伊藤セミナー発表準備（原稿提出15日）","高","作村","原稿の提出",2017-08-15,,"2017-10-22 12:31:29.126691","2017-10-22 12:31:29.126691"
77,99_Close,2017-08-08,"作村",PPC,"PPC管理シートの状況把握＆分析","高","作村","30分以上確認",2017-09-09,,"2017-10-22 12:31:29.133494","2017-10-22 12:31:29.133494"
78,99_Close,2017-08-09,"作村",PPC,"伊藤師匠へ月間収支報告","中","作村","毎月月間の収支報告をする。",2017-12-01,,"2017-10-22 12:31:29.138977","2017-10-22 12:31:29.138977"
79,99_Close,2017-08-10,"浅",PMO,"経理業務","中","浅","メイプラックに使われた時間とお金を月ごとに確認することが出来る",2017-09-13,2017-09-12,"2017-10-22 12:31:29.145622","2017-10-22 12:31:29.145622"
80,04_Invaild,2017-08-12,"浅",PMO,"メイプラックの企業体としての体制を整える","低","浅","メイプラックの業務や管理ルールなど設計する",2017-09-12,,"2017-10-22 12:31:29.151098","2017-10-22 12:31:29.151098"
81,99_Close,2017-08-12,"作村",PPC,"LPのHTMLとCSSの修正方法動画作成","中","作村","動画を完成させグループドライブにあげる。",2017-08-13,,"2017-10-22 12:31:29.157453","2017-10-22 12:31:29.157453"
82,99_Close,2017-08-12,"作村",PPC,"ASP担当をつける","中","作村","レントラックスとafbに担当をつけてもらえないか交渉",2017-09-30,2017-09-25,"2017-10-22 12:31:29.162860","2017-10-22 12:31:29.162860"
83,99_Close,2017-08-12,"作村",PPC,"特別単価をもらう。","中","作村","各ASP特別単価をもらう。",2017-09-03,,"2017-10-22 12:31:29.169552","2017-10-22 12:31:29.169552"
84,99_Close,2017-08-12,"作村",PPC,"アフィリエイトハブのタグを変更","高","作村","アフィリエイトハブのタグを変更",2017-09-02,,"2017-10-22 12:31:29.174917","2017-10-22 12:31:29.174917"
85,99_Close,2017-08-12,"浅",PPC,"PPC事業に関われていない","中","浅","PPC事業の議論でデータを基に改善提案できる",2017-08-26,,"2017-10-22 12:31:29.181272","2017-10-22 12:31:29.181272"
86,99_Close,2017-08-13,"吉野",PPC,"YDNの利益拡大するための計画を考える","高","吉野","計画を再策定し、課題管理表・タスク管理表を記入する",2017-08-14,,"2017-10-22 12:31:29.186758","2017-10-22 12:31:29.186758"
87,99_Close,2017-08-13,"浅","会議","課題と計画の見直し","高","浅","課題とタスクの再設定を行う",2017-08-20,2017-08-20,"2017-10-22 12:31:29.192927","2017-10-22 12:31:29.192927"
88,99_Close,2017-08-13,"浅","経理","会計業務","高","浅","会計データが正しく入力されている",2017-08-31,2017-08-31,"2017-10-22 12:31:29.198257","2017-10-22 12:31:29.198257"
89,99_Close,2017-08-07,"作村",PPC,"伊藤さんへ収支報告日報","中","作村","日々の収支報告",2017-12-01,,"2017-10-22 12:31:29.210426","2017-10-22 12:31:29.210426"
90,99_Close,2017-08-14,"作村",PPC,"来週の予定を記入する。","高","作村","今週の予定を予定を記入してしまったら終わり",2017-12-31,2017-07-31,"2017-10-22 12:31:29.222967","2017-10-22 12:31:29.222967"
91,99_Close,2017-08-08,"作村",PPC,"ASPメールチェック＆入金確認","高","作村","メールチェック＆返信",2017-09-03,,"2017-10-22 12:31:29.230364","2017-10-22 12:31:29.230364"
92,99_Close,2017-08-08,"作村",PPC,"yahoo入金確認","高","作村","入金確認",2017-09-03,,"2017-10-22 12:31:29.235854","2017-10-22 12:31:29.235854"
93,99_Close,2017-08-14,"浅","経理","簿記に詳しくなる","中","浅","簿記3級の知識を身に付ける",2017-08-28,,"2017-10-22 12:31:29.242270","2017-10-22 12:31:29.242270"
94,04_Invaild,2017-08-19,"浅","会議","会議準備","高","浅","週次報告会の前に週次報告管理シートと会議事前資料を作成する",2017-08-31,,"2017-10-22 12:31:29.249016","2017-10-22 12:31:29.249016"
